Lesson	Complete	Visits	Hints
Normal user lessons
How to work with WebGoat	Y	9	0
How to create a Legacy Lesson	Y	1	0
Http Basics	Y	10	0
Using an Access Control Matrix	Y	8	0
Bypass a Path Based Access Control Scheme	Y	58	0
LAB: Role Based Access Control	N	133	0
LAB: Client Side Filtering	N	9	0
LAB: DOM-Based cross-site scripting	N	2	0
DOM Injection	N	5	0
XML Injection	Y	7	0
JSON Injection	N	12	0
Insecure Client Storage	Y	21	0
Dangerous Use of Eval	Y	2	0
Password Strength	Y	3	0
Forgot Password	Y	7	0
Multi Level Login 2	N	10	0
Multi Level Login 1	N	6	0
Off-by-One Overflows	N	5	0
Discover Clues in the HTML	Y	4	0
Thread Safety Problems	N	11	0
Shopping Cart Concurrency Flaw	N	16	0
Phishing with XSS	N	9	0
Stored XSS Attacks	N	0	0
Reflected XSS Attacks	N	0	0
Cross Site Request Forgery (CSRF)	N	0	0
CSRF Prompt By-Pass	N	0	0
CSRF Token By-Pass	N	0	0
HTTPOnly Test	N	0	0
Fail Open Authentication Scheme	N	12	0
Command Injection	N	1	0
Numeric SQL Injection	N	0	0
Log Spoofing	N	0	0
String SQL Injection	N	0	0
LAB: SQL Injection	N	0	0
Database Backdoors 	N	0	0
Blind Numeric SQL Injection	N	0	0
Blind String SQL Injection	N	0	0
ZipBomb	N	14	0
Denial of Service from Multiple Logins	N	10	0
Insecure Login	Y	18	0
Encoding Basics	Y	8	0
Malicious File Execution	N	4	0
Bypass HTML Field Restrictions	N	17	0
Exploit Hidden Fields	N	5	0
Exploit Unchecked Email	N	2	0
Bypass Client Side JavaScript Validation	N	0	0
Hijack a Session	N	1	0
Session Fixation	N	0	0
Create a SOAP Request	N	15	0
WSDL Scanning	N	6	0
Web Service SQL Injection	N	0	0
Web Service SAX Injection	N	0	0
Report Card	N	7	0
The CHALLENGE	N	0	0
Hackable Admin Screens
Product Information	N	0	0
User Information	N	0	0
Adhoc Query	N	0	0
Actual Admin Screens
Lesson information	N	0	0
Summary Report Card	N	0	0
Refresh Database	N	0	0
